VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2015-09-01 00:02:34,2015-09-01 00:02:38,N,5,-73.9794845581054,40.6849555969238,-73.9794311523437,40.6850204467773,1,0.0,7.8,0.0,0.0,1.95,0.0,,0.0,9.75,1,2
2,2015-09-01 00:04:20,2015-09-01 00:04:24,N,5,-74.0107955932617,40.9122161865234,-74.0107803344726,40.9122123718261,1,0.0,45.0,0.0,0.0,0.0,0.0,,0.0,45.0,1,2
2,2015-09-01 00:01:50,2015-09-01 00:04:24,N,1,-73.9214096069335,40.7667083740234,-73.9144134521484,40.7646865844726,1,0.59,4.0,0.5,0.5,0.5,0.0,,0.3,5.8,1,1
2,2015-09-01 00:02:36,2015-09-01 00:06:42,N,1,-73.92138671875,40.7666778564453,-73.9314270019531,40.7715835571289,1,0.74,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
2,2015-09-01 00:00:14,2015-09-01 00:04:20,N,1,-73.9554824829101,40.7140464782714,-73.9444122314453,40.714729309082,1,0.61,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
2,2015-09-01 00:00:39,2015-09-01 00:05:20,N,1,-73.9452972412109,40.8081855773925,-73.9376678466796,40.8211975097656,1,1.07,5.5,0.5,0.5,1.36,0.0,,0.3,8.16,1,1
2,2015-09-01 00:00:52,2015-09-01 00:05:50,N,1,-73.8908767700195,40.7464256286621,-73.8769226074218,40.75630569458,1,1.43,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,1,1
2,2015-09-01 00:02:15,2015-09-01 00:05:34,N,1,-73.9467010498046,40.79732131958,-73.937644958496,40.804515838623,1,0.9,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
2,2015-09-01 00:02:36,2015-09-01 00:07:20,N,1,-73.963150024414,40.6938285827636,-73.956787109375,40.6805305480957,1,1.33,6.0,0.5,0.5,1.46,0.0,,0.3,8.76,1,1
2,2015-09-01 00:02:13,2015-09-01 00:07:23,N,1,-73.8968200683593,40.7461280822753,-73.8886260986328,40.7527236938476,1,0.84,5.5,0.5,0.5,0.0,0.0,,0.3,6.8,2,1
2,2015-09-01 00:01:12,2015-09-01 00:05:03,N,1,-73.8299179077148,40.713768005371,-73.8349456787109,40.707290649414,2,0.8,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1
