title,episodes,type
Ame-iro Cocoa Series: Ame-con!!,12.0,tv
Ame-iro Cocoa: Rainy Color e Youkoso!,12.0,tv
Ame-iro Cocoa: Side G,12.0,tv
Amon: Devilman Mokushiroku,1.0,ova
Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji,2.0,ova
Anata wo Hitokoto de Arawashite Kudasai: no Shitsumon ga Nigate da.,1.0,ona
Ancien to Mahou no Tablet: Mou Hitotsu no Hirune Hime,2.0,ona
Andersen Douwa: Ningyohime,1.0,movie
Ane Jiru 2 The Animation: Shirakawa Sanshimai ni Omakase,2.0,ova
Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,2.0,ova
Ane Koi: Suki Kirai Daisuki.,2.0,ova
Ane Kyun!: Joshi ga Ie ni Kita!,1.0,ova
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue,6.0,ova
Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue Specials,3.0,special
Ane Log: Moyako Neesan no Tomaranai Monologue,3.0,ova
Anehame: Ore no Hatsukoi ga Jisshi na Wake ga Nai,,ova
Angel Blade: Ultimate Edition - Tokuteneizou,1.0,special
Angel Core: Tenshi-tachi no Sumika,2.0,ova
Angelique: Seichi yori Ai wo Komete,3.0,ova
Angelique: Shiroi Tsubasa no Memoire,2.0,ova
Angelique: Twin Collection,8.0,ova
Angolmois: Genkou Kassenki,12.0,tv
Ani x Para: Anata no Hero wa Dare desu ka,16.0,special
Animation Kikou: Marco Polo no Bouken,43.0,tv
Animation de Tsutaeru: Hibakusha kara no Tegami,9.0,ona
Anime Document: München e no Michi,16.0,tv
Anime Koukyoushi: Jungle Taitei,1.0,ova
Anime Sanjuushi: Aramis no Bouken,1.0,movie
Anime de Tanoshiku Manabu Koutsuu Anzen: Tenshi no Kotencotenco,1.0,ova
Anime-ban Little★Nicky: Henachoko Akuma Nicky no NY Taikenki,6.0,ona
"Animegataris: Yuku Toshi, Kuru Toshi",1.0,ona
Animentary: Ketsudan,25.0,tv
Anitore! EX: Jigoku no Training,5.0,special
Anitore! XX: Hitotsu Yane no Shita de,12.0,tv
Anitore! XX: Hitotsu Yane no Shita de Specials,6.0,special
Anne no Nikki: Anne Frank Monogatari,1.0,special
Annyeong Jadoo: Eondeo Deo Ssi,1.0,special
Annyeong Jadoo: Hyonyeojadu & Eomjigongju,1.0,special
Annyeong Jadoo: In-eogongju Pyeon,1.0,special
Annyeong Jadoo: Jindallaeui Bimil,1.0,special
Annyeong Jadoo: Seoyugi Eojjeoda Yeong-ung,1.0,special
"Annyeong, Tyrano: Yeong-wonhi, Hamkke",1.0,movie
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami,1.0,special
"Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku",1.0,special
"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",1.0,special
Another: Misaki Mei - Shizukani,1.0,music
Another: The Other - Inga,1.0,ova
Ansatsu Kyoushitsu: 365-nichi no Jikan,1.0,movie
Ansatsu Kyoushitsu: Deai no Jikan,1.0,special
Ansatsu Kyoushitsu: Jump Festa 2013 Special,1.0,special
Ansatsu Kyoushitsu: Kagaijugyou-hen,8.0,ona
